LEXEME                 SPELLING
programsym              program
identifier              example
lparen                        (
identifier                input
comma                         ,
identifier               output
rparen                        )
semicolon                     ;
varsym                      var
identifier                    x
comma                         ,
identifier                    y
colon                         :
integersym              integer
semicolon                     ;
varsym                      var
identifier                    a
comma                         ,
identifier                    b
comma                         ,
identifier                    c
colon                         :
charsym                    char
semicolon                     ;
beginsym		begin
readsym                    read
lparen                        (
identifier                    x
rparen                        )
semicolon                     ;
readsym                    read
lparen                        (
identifier                    y
rparen                        )
semicolon                     ;
identifier                    x
equal                         =
identifier                    x
plus                          +
identifier                    y
semicolon                     ;
endsym                      end
period                        .
eofsym                   eofsym
